
actor {
    ident       ACTOR_PLAYER
    glyph       '@'
    colour      0x7777FF
    name        "player"
    health      10
    type        TYPE_PLAYER
};

actor {
    ident       ACTOR_KOBOLD
    glyph       'k'
    colour      0xFF77FF
    name        "kobold"
    health      10
    moveChance  333
    type        TYPE_VILLAGER
};

actor {
    ident       ACTOR_PIG
    glyph       'p'
    colour      0xFF77FF
    name        "pig"
    health      4
    type        TYPE_ANIMAL
    foodItem    ITEM_CARROT
    moveChance  500
    loot {
        ITEM_MEAT  100  2 3
    }
};

actor {
    ident       ACTOR_CHICKEN
    glyph       'c'
    colour      0xFF77FF
    name        "chicken"
    health      2
    type        TYPE_ANIMAL
    foodItem    ITEM_WHEAT_SEED
    moveChance  666
    loot {
        ITEM_MEAT  100  1 2
    }
};

actor {
    ident       ACTOR_GOAT
    glyph       'g'
    colour      0xFF77FF
    name        "goat"
    health      5
    type        TYPE_ANIMAL
    foodItem    ITEM_SHEAF_OF_WHEAT
    moveChance  500
    loot {
        ITEM_MEAT  100  2 3
    }
};

actor {
    ident   ACTOR_WOLF
    glyph   'w'
    colour  0xFF77FF
    name    "wolf"
    health  3
    type    TYPE_ANIMAL
    foodItem    ITEM_MEAT
    moveChance  500
    loot {
        ITEM_MEAT  100  2 3
    }
};

actor {
    ident   ACTOR_TREE
    glyph   'T'
    colour  0x77FF77
    name    "tree"
    health  10
    type    TYPE_PLANT
    loot {
        ITEM_LOG        100 1   1
        ITEM_SAPLING    100 1   3
    }
};

actor {
    ident   ACTOR_SHRUB
    glyph   ';'
    colour  0x77FF77
    name    "shrub"
    ai      0
    type    TYPE_PLANT
    loot {
        ITEM_SHRUB_SEED 100 1 3
        ITEM_STICK      100 1 1
        ITEM_CORD       100 1 3
    }
};

actor {
    ident       ACTOR_SAPLING
    glyph       't'
    colour      0x77FF77
    name        "sapling"
    ai          0
    type        TYPE_PLANT
    growTo      ACTOR_TREE
    growTime    20
    loot {
        ITEM_SAPLING   100 1   1
    }
};

actor {
    ident   ACTOR_SPROUT
    glyph   ','
    colour  0x77FF77
    name    "sprout"
    ai      0
    type    TYPE_PLANT
    growTo      ACTOR_SHRUB
    growTime    15
    loot {
        ITEM_SHRUB_SEED 100 1 1
    }
};

actor {
    ident   ACTOR_WHEAT_SEEDLING
    glyph   ','
    colour  0xFFDF00
    name    "wheat seedling"
    ai      0
    type    TYPE_PLANT
    growTo      ACTOR_GROWN_WHEAT
    growTime    15
    loot {
        ITEM_WHEAT_SEED 100 1 1
    }
};

actor {
    ident   ACTOR_GROWN_WHEAT
    glyph   ';'
    colour  0xFFDF00
    name    "grown wheat"
    ai      0
    type    TYPE_PLANT
    loot {
        ITEM_WHEAT_SEED 100 1 3
        ITEM_SHEAF_OF_WHEAT 100 2 4
    }
};

actor {
    ident   ACTOR_CARROT_SEEDLING
    glyph   ','
    colour  0xED9121
    name    "carrot seedling"
    ai      0
    type    TYPE_PLANT
    growTo      ACTOR_GROWN_CARROT
    growTime    15
    loot {
        ITEM_CARROT_SEED 100 1 1
    }
};

actor {
    ident   ACTOR_GROWN_CARROT
    glyph   ';'
    colour  0xED9121
    name    "grown carrot"
    ai      0
    type    TYPE_PLANT
    loot {
        ITEM_CARROT_SEED 100 1 3
        ITEM_CARROT 100 2 4
    }
};


actor {
    ident   ACTOR_TURNIP_SEEDLING
    glyph   ','
    colour  0xEEEEEE
    name    "turnip seedling"
    ai      0
    type    TYPE_PLANT
    growTo      ACTOR_GROWN_TURNIP
    growTime    15
    loot {
        ITEM_TURNIP_SEED 100 1 1
    }
};

actor {
    ident   ACTOR_GROWN_TURNIP
    glyph   ';'
    colour  0xEEEEEE
    name    "grown turnip"
    ai      0
    type    TYPE_PLANT
    loot {
        ITEM_TURNIP_SEED 100 1 3
        ITEM_TURNIP 100 2 4
    }
};

actor {
    ident           ACTOR_ZOMBIE
    glyph           'z'
    colour          0xFF7777
    name            "zombie"
    health          6
    type            TYPE_MONSTER
    moveChance      250
    defaultFaction  2
    baseDamage      2
};
